folio;depto;area;nro;s12a_01a;s12a_01b;s12a_01c;s12a_01d;s12a_01e;s12a_01f;s12a_01g;s12a_01h;s12a_01i;s12a_01j;s12a_01k;s12a_01l;s12a_01le;s12a_02;s12a_03_1;s12a_03_2;s12a_03_3;s12a_03_4;s12a_03_5;s12a_03_6;s12a_03_6e;s12a_04;s12a_04e;s12a_05_1;s12a_05_2;s12a_05_3;s12a_05_4;s12a_05_5;s12a_05_6;s12a_05_7;s12a_05_7e;upm;estrato;Ponderador
261-06150967636-A-0121;La Paz;Urbana;3;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;261-06150967636-A;11;,61033724072673
261-06150967636-A-0141;La Paz;Urbana;1;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;1. Si;2. No; ;2. No; ; ; ; ; ; ; ; ; ;2. No;1. Si;1. Si;2. No;1. Si;2. No;2. No; ;261-06150967636-A;11;,20344574690891
261-06150967636-A-0151;La Paz;Urbana;1;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;261-06150967636-A;11;,40689149381782
261-06150967636-A-0171;La Paz;Urbana;1;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;261-06150967636-A;11;,40689149381782
261-06150967636-A-0181;La Paz;Urbana;2;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;261-06150967636-A;11;,81378298763564
261-06153891897-A-0011;La Paz;Urbana;1;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;261-06153891897-A;11;,573603980868177
261-06153891897-A-0021;La Paz;Urbana;3;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;261-06153891897-A;11;,860405971302265
261-06153891897-A-0041;La Paz;Urbana;2;2. No;2. No;3. Prefiere no decirlo;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ;2. No; ; ; ; ; ; ; ; ; ;2. No;2. No;2. No;2. No;2. No;1. Si;2. No; ;261-06153891897-A;11;,573603980868177
261-06153891897-A-0051;La Paz;Urbana;3;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;261-06153891897-A;11;,860405971302265
261-06153891897-A-0061;La Paz;Urbana;1;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;261-06153891897-A;11;,860405971302265
261-06153891897-A-0071;La Paz;Urbana;1;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;261-06153891897-A;11;,573603980868177
261-06153891897-A-0081;La Paz;Urbana;1;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;261-06153891897-A;11;,573603980868177
261-06153891897-A-0091;La Paz;Urbana;2;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;261-06153891897-A;11;,573603980868177
261-06153891897-A-0111;La Paz;Urbana;1;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;261-06153891897-A;11;,573603980868177
261-06153891897-A-0121;La Paz;Urbana;2;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;261-06153891897-A;11;,573603980868177
261-06153891897-A-0131;La Paz;Urbana;1;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;261-06153891897-A;11;,573603980868177
261-06153891897-A-0141;La Paz;Urbana;2;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;261-06153891897-A;11;,573603980868177
261-06156786783-A-0021;La Paz;Urbana;2;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;261-06156786783-A;11;,570041223223033
261-06156786783-A-0041;La Paz;Urbana;2;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;261-06156786783-A;11;,570041223223033
261-06156786783-A-0051;La Paz;Urbana;1;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;261-06156786783-A;11;,570041223223033
261-06156786783-A-0071;La Paz;Urbana;1;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;261-06156786783-A;11;,570041223223033
261-06156786783-A-0091;La Paz;Urbana;2;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;261-06156786783-A;11;,570041223223033
261-06156786783-A-0101;La Paz;Urbana;2;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;261-06156786783-A;11;,570041223223033
261-06156786783-A-0121;La Paz;Urbana;3;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;261-06156786783-A;11;,855061834834549
261-06156786783-A-0141;La Paz;Urbana;2;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;261-06156786783-A;11;,855061834834549
261-06156786783-A-0151;La Paz;Urbana;1;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;261-06156786783-A;11;,570041223223033
261-06156786783-A-0171;La Paz;Urbana;1;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;261-06156786783-A;11;,570041223223033
261-06156786783-A-0191;La Paz;Urbana;2;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;261-06156786783-A;11;,570041223223033
261-06156786783-A-0201;La Paz;Urbana;2;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;261-06156786783-A;11;1,14008244644607
261-06160512500-A-0011;La Paz;Urbana;2;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;1. Si;2. No; ;2. No; ; ; ; ; ; ; ; ; ;2. No;2. No;1. Si;1. Si;1. Si;2. No;2. No; ;261-06160512500-A;11;1,11244408410798
261-06160512500-A-0031;La Paz;Urbana;1;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;261-06160512500-A;11;1,39055510513497
261-06160512500-A-0051;La Paz;Urbana;6;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;261-06160512500-A;11;1,39055510513497
261-06160512500-A-0081;La Paz;Urbana;1;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;261-06160512500-A;11;,278111021026995
261-06160512500-A-0101;La Paz;Urbana;5;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;261-06160512500-A;11;1,39055510513497
261-06160512500-A-0121;La Paz;Urbana;3;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;261-06160512500-A;11;1,39055510513497
261-06160512500-A-0151;La Paz;Urbana;2;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;261-06160512500-A;11;1,11244408410798
261-06160512500-A-0171;La Paz;Urbana;1;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;261-06160512500-A;11;,55622204205399
261-06160512500-A-0191;La Paz;Urbana;2;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;261-06160512500-A;11;,55622204205399
261-06160512500-A-0221;La Paz;Urbana;2;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;261-06160512500-A;11;,55622204205399
261-06160512500-A-0241;La Paz;Urbana;4;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;261-06160512500-A;11;1,66866612616197
261-06160512500-A-0261;La Paz;Urbana;2;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;261-06160512500-A;11;,55622204205399
261-06166061779-A-0021;La Paz;Urbana;2;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;261-06166061779-A;11;1,07697073958923
261-06166061779-A-0031;La Paz;Urbana;1;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;261-06166061779-A;11;1,07697073958923
261-06166061779-A-0051;La Paz;Urbana;1;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;261-06166061779-A;11;1,07697073958923
261-06166061779-A-0071;La Paz;Urbana;3;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;261-06166061779-A;11;2,15394147917846
261-06166061779-A-0091;La Paz;Urbana;4;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;261-06166061779-A;11;2,15394147917846
261-06166061779-A-0111;La Paz;Urbana;1;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;261-06166061779-A;11;,538485369794615
261-06166061779-A-0131;La Paz;Urbana;1;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;1. Si;2. No; ;2. No; ; ; ; ; ; ; ; ; ;2. No;2. No;2. No;1. Si;2. No;2. No;2. No; ;261-06166061779-A;11;1,07697073958923
261-06166061779-A-0151;La Paz;Urbana;1;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;1. Si;2. No; ;2. No; ; ; ; ; ; ; ; ; ;2. No;2. No;2. No;2. No;2. No;1. Si;2. No; ;261-06166061779-A;11;1,07697073958923
261-06166061779-A-0171;La Paz;Urbana;1;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;261-06166061779-A;11;1,07697073958923
261-06166061779-A-0191;La Paz;Urbana;2;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;261-06166061779-A;11;1,07697073958923
261-06166061779-A-0211;La Paz;Urbana;1;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;261-06166061779-A;11;1,07697073958923
261-06166061779-A-0231;La Paz;Urbana;1;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;261-06166061779-A;11;1,07697073958923
262-06008956165-A-0011;La Paz;Urbana;1;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;262-06008956165-A;12;,461663451976487
262-06008956165-A-0031;La Paz;Urbana;1;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;262-06008956165-A;12;,461663451976487
262-06008956165-A-0061;La Paz;Urbana;4;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;262-06008956165-A;12;,923326903952974
262-06008956165-A-0081;La Paz;Urbana;1;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;262-06008956165-A;12;,69249517796473
262-06008956165-A-0101;La Paz;Urbana;1;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;262-06008956165-A;12;,230831725988243
262-06008956165-A-0121;La Paz;Urbana;1;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;262-06008956165-A;12;,230831725988243
262-06008956165-A-0141;La Paz;Urbana;2;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;262-06008956165-A;12;,461663451976487
262-06009058457-A-0161;La Paz;Urbana;1;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;262-06009058457-A;12;1,38499035592946
262-06009058457-A-0191;La Paz;Urbana;3;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;262-06009058457-A;12;,69249517796473
262-06009058457-A-0211;La Paz;Urbana;1;4. No sabe;4. No sabe;4. No sabe;4. No sabe;4. No sabe;4. No sabe;4. No sabe;4. No sabe;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;262-06009058457-A;12;,230831725988243
262-06009058457-A-0231;La Paz;Urbana;1;4. No sabe;2. No;2. No;2. No;2. No;2. No;3. Prefiere no decirlo;3. Prefiere no decirlo;2. No;2. No;2. No;2. No; ;2. No; ; ; ; ; ; ; ; ; ;2. No;2. No;2. No;1. Si;2. No;2. No;2. No; ;262-06009058457-A;12;,461663451976487
262-06009058457-A-0251;La Paz;Urbana;1;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;262-06009058457-A;12;,461663451976487
262-06019219728-A-0011;La Paz;Urbana;3;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;262-06019219728-A;12;,532688598434408
262-06019219728-A-0021;La Paz;Urbana;2;2. No;2. No;2. No;2. No;3. Prefiere no decirlo;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ;2. No; ; ; ; ; ; ; ; ; ;2. No;2. No;2. No;1. Si;2. No;2. No;2. No; ;262-06019219728-A;12;,355125732289605
262-06019219728-A-0031;La Paz;Urbana;1;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;262-06019219728-A;12;,355125732289605
262-06019219728-A-0041;La Paz;Urbana;2;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;262-06019219728-A;12;,355125732289605
262-06019219728-A-0051;La Paz;Urbana;2;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;262-06019219728-A;12;,710251464579211
262-06019219728-A-0061;La Paz;Urbana;2;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;262-06019219728-A;12;,355125732289605
262-06019219728-A-0071;La Paz;Urbana;5;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;262-06019219728-A;12;,887814330724014
262-06019219728-A-0081;La Paz;Urbana;1;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;262-06019219728-A;12;,177562866144803
262-06019219728-A-0091;La Paz;Urbana;4;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;262-06019219728-A;12;,710251464579211
262-06019219728-A-0101;La Paz;Urbana;1;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;262-06019219728-A;12;,532688598434408
262-06019219728-A-0111;La Paz;Urbana;1;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;262-06019219728-A;12;,355125732289605
262-06019219728-A-0121;La Paz;Urbana;4;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;262-06019219728-A;12;,355125732289605
262-06021194555-A-0111;La Paz;Urbana;4;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;262-06021194555-A;11;,81943425838311
262-06021194555-A-0131;La Paz;Urbana;1;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;262-06021194555-A;11;,327773703353244
262-06021194555-A-0151;La Paz;Urbana;1;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;262-06021194555-A;11;,163886851676622
262-06021194555-A-0171;La Paz;Urbana;1;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;262-06021194555-A;11;,327773703353244
262-06021194555-A-0181;La Paz;Urbana;1;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;262-06021194555-A;11;,491660555029866
262-06021194555-A-0201;La Paz;Urbana;2;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;262-06021194555-A;11;,327773703353244
262-06021194555-A-0221;La Paz;Urbana;1;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;262-06021194555-A;11;,163886851676622
262-06027530035-A-0011;La Paz;Urbana;1;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;262-06027530035-A;12;,414313354337873
262-06027530035-A-0021;La Paz;Urbana;3;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;262-06027530035-A;12;,62147003150681
262-06027530035-A-0041;La Paz;Urbana;2;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;262-06027530035-A;12;,62147003150681
262-06027530035-A-0051;La Paz;Urbana;5;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;262-06027530035-A;12;1,03578338584468
262-06027530035-A-0061;La Paz;Urbana;2;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;262-06027530035-A;12;,414313354337873
262-06027530035-A-0071;La Paz;Urbana;1;2. No;2. No;2. No;2. No;1. Si;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ;2. No; ; ; ; ; ; ; ; ; ;2. No;2. No;2. No;1. Si;2. No;2. No;2. No; ;262-06027530035-A;12;,414313354337873
262-06027530035-A-0081;La Paz;Urbana;1;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;262-06027530035-A;12;,414313354337873
262-06027530035-A-0091;La Paz;Urbana;2;2. No;2. No;2. No;4. No sabe;4. No sabe;2. No;2. No;2. No;2. No;2. No;4. No sabe;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;262-06027530035-A;12;,414313354337873
262-06027530035-A-0111;La Paz;Urbana;1;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;262-06027530035-A;12;,414313354337873
262-06027530035-A-0121;La Paz;Urbana;2;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;262-06027530035-A;12;,414313354337873
262-06027530035-A-0131;La Paz;Urbana;2;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;262-06027530035-A;12;,62147003150681
262-06027530035-A-0141;La Paz;Urbana;2;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;262-06027530035-A;12;,414313354337873
262-06032684996-A-0011;La Paz;Urbana;1;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;1. Si;2. No; ;2. No; ; ; ; ; ; ; ; ; ;2. No;1. Si;2. No;2. No;2. No;2. No;2. No; ;262-06032684996-A;12;,304393484819662
262-06032684996-A-0021;La Paz;Urbana;2;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;262-06032684996-A;12;,304393484819662
262-06032684996-A-0031;La Paz;Urbana;1;2. No;2. No;2. No;2. No;2. No;2. No;1. Si;2. No;2. No;2. No;2. No;2. No; ;2. No; ; ; ; ; ; ; ; ; ;2. No;2. No;2. No;2. No;1. Si;2. No;2. No; ;262-06032684996-A;12;,304393484819662
262-06032684996-A-0041;La Paz;Urbana;2;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;262-06032684996-A;12;,456590227229493
262-06032684996-A-0061;La Paz;Urbana;4;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;262-06032684996-A;12;,608786969639324
262-06032684996-A-0071;La Paz;Urbana;1;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;262-06032684996-A;12;,152196742409831
262-06032684996-A-0081;La Paz;Urbana;1;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;262-06032684996-A;12;,456590227229493
262-06032684996-A-0091;La Paz;Urbana;2;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;262-06032684996-A;12;,304393484819662
262-06032684996-A-0111;La Paz;Urbana;1;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;262-06032684996-A;12;,304393484819662
